;A;B;C;D;E;F;G;H;I;J;K;L
1;3174;3224;0;0;112;38;101;2433;2480;296;136;172
2;2704;3525;0;0;181;0;47;2225;2452;273;22;158
3;0;181;0;202;4648;35;21654;11530;369;0;198;2193
4;134;259;7;129;4895;105;20027;10614;376;0;195;1785
5;30764;19535;3135;716;3257;34487;1971;24530;444;444;1805;562
6;32471;21128;3332;606;2968;32266;1744;24243;425;284;1722;553
7;7968;3325;431;1245;249;712;153;996;710;96;0;2909
8;6221;2965;482;1186;220;543;42;737;416;66;0;2536
